date_checked,departure_date,from,to,price,currency,airline,departure_time,arrival_time,offer_id
2025-07-15,2025-09-06,IST,ISB,404.63,EUR,PK,2025-09-06T21:10:00,2025-09-07T04:20:00,25
2025-07-15,2025-09-06,IST,ISB,404.63,EUR,PK,2025-09-06T20:30:00,2025-09-07T03:50:00,26
2025-07-15,2025-09-06,IST,ISB,409.97,EUR,KU,2025-09-06T23:45:00,2025-09-07T03:20:00,27
2025-07-15,2025-09-06,IST,ISB,506.14,EUR,EK,2025-09-06T19:25:00,2025-09-07T00:55:00,28
2025-07-15,2025-09-06,IST,ISB,516.63,EUR,EK,2025-09-06T22:25:00,2025-09-07T03:55:00,29
2025-07-15,2025-09-06,IST,ISB,521.63,EUR,EK,2025-09-06T02:10:00,2025-09-06T07:35:00,30
2025-07-15,2025-09-06,IST,ISB,521.63,EUR,EK,2025-09-06T23:20:00,2025-09-07T04:50:00,31
2025-07-15,2025-09-06,IST,ISB,549.14,EUR,FZ,2025-09-06T14:05:00,2025-09-06T19:35:00,32
2025-07-15,2025-09-07,IST,ISB,232.61,EUR,EY,2025-09-07T07:25:00,2025-09-07T12:55:00,1
2025-07-15,2025-09-07,IST,ISB,242.97,EUR,KU,2025-09-07T16:20:00,2025-09-07T19:40:00,2
2025-07-15,2025-09-07,IST,ISB,247.97,EUR,KU,2025-09-07T13:00:00,2025-09-07T16:35:00,3
2025-07-15,2025-09-07,IST,ISB,250.7,EUR,QR,2025-09-07T20:05:00,2025-09-08T00:20:00,4
2025-07-15,2025-09-07,IST,ISB,250.7,EUR,QR,2025-09-07T13:35:00,2025-09-07T17:50:00,5
2025-07-15,2025-09-07,IST,ISB,250.7,EUR,QR,2025-09-07T13:35:00,2025-09-07T17:50:00,6
2025-07-15,2025-09-07,IST,ISB,252.92,EUR,QR,2025-09-07T20:05:00,2025-09-08T00:20:00,7
2025-07-15,2025-09-07,IST,ISB,255.7,EUR,QR,2025-09-07T20:05:00,2025-09-08T00:30:00,8
2025-07-15,2025-09-07,IST,ISB,255.7,EUR,QR,2025-09-07T13:45:00,2025-09-07T18:10:00,9
2025-07-15,2025-09-07,IST,ISB,255.7,EUR,QR,2025-09-07T09:50:00,2025-09-07T14:15:00,10
2025-07-15,2025-09-07,IST,ISB,255.7,EUR,QR,2025-09-07T13:45:00,2025-09-07T18:10:00,11
2025-07-15,2025-09-07,IST,ISB,306.51,EUR,PK,2025-09-07T01:10:00,2025-09-07T07:55:00,12
2025-07-15,2025-09-07,IST,ISB,315.61,EUR,EY,2025-09-07T14:15:00,2025-09-07T19:50:00,13
2025-07-15,2025-09-07,IST,ISB,315.61,EUR,EY,2025-09-07T07:25:00,2025-09-07T12:55:00,14
2025-07-15,2025-09-07,IST,ISB,332.85,EUR,TG,2025-09-07T16:30:00,2025-09-08T05:40:00,15
2025-07-15,2025-09-07,IST,ISB,353.57,EUR,PK,2025-09-07T21:10:00,2025-09-08T04:20:00,16
2025-07-15,2025-09-07,IST,ISB,362.74,EUR,SV,2025-09-07T18:25:00,2025-09-07T22:20:00,17
2025-07-15,2025-09-07,IST,ISB,362.74,EUR,SV,2025-09-07T15:25:00,2025-09-07T19:20:00,18
2025-07-15,2025-09-07,IST,ISB,362.74,EUR,SV,2025-09-07T16:25:00,2025-09-07T20:50:00,19
2025-07-15,2025-09-07,IST,ISB,372.77,EUR,TK,2025-09-07T01:10:00,2025-09-07T07:55:00,20
2025-07-15,2025-09-07,IST,ISB,372.77,EUR,TK,2025-09-07T21:10:00,2025-09-08T03:55:00,21
2025-07-15,2025-09-07,IST,ISB,391.9,EUR,GF,2025-09-07T16:10:00,2025-09-07T20:20:00,22
2025-07-15,2025-09-07,IST,ISB,400.63,EUR,PK,2025-09-07T20:30:00,2025-09-08T03:50:00,23
